bottle_id,name,proof,msrp,acquisition_date,acquisition_price,batch,bottle_code,status,removed_date,sale_price,removal_notes,wooden_cork_url,bbb_url,barrel_tap_url,keg_n_bottle_url
weller_single_barrel,Weller Single Barrel,97,,,110.00,,L280 0115:43,active,,,,https://woodencork.com/products/w-l-weller-single-barrel,https://bottlebluebook.com/group/40/Weller,https://www.thebarreltap.com/products/w-l-weller-single-bourbon-750ml,https://kegnbottle.com/products/weller-single-barrel-750ml
stagg_kentucky_straight_bourbon_whiskey,Stagg Kentucky Straight Bourbon Whiskey,126.5,,,99.00,25A,,active,,,,https://woodencork.com/products/stagg-bourbon-batch-25a,https://bottlebluebook.com/bottle/1114/Stagg,https://www.thebarreltap.com/products/stagg-bourbon-batch-25a,https://kegnbottle.com/products/stagg-jr-kentucky-straight-bourbon-batch-25a-126-5-proof-750ml
blantons_single_barrel_japanese_export,Blanton's Single Barrel Japanese Export,80,,,110.00,,Dumped on 3-12-24 from Barrel No. 536 on Rick No. 84. Registered Bottle No. 1163,active,,,,https://woodencork.com/products/blantons-black-edition-bourbon,https://bottlebluebook.com/group/29/Blanton%27s,https://www.thebarreltap.com/products/blantons-black-label-single-barrel-bourbon-whiskey-750ml,https://kegnbottle.com/products/blantons-black-label-japanese-release-bourbon-750-ml
blantons_single_barrel_bourbon_121_8,Blanton's Single Barrel Bourbon,121.8,,,90.00,,"Dumped on 8-5-24, From Barrel No. 226, In Warehouse H, On Rick No. 34, Alc/Vol% 60.9",active,,,,https://woodencork.com/products/blantons-straight-from-the-barrel-bourbon,https://bottlebluebook.com/bottle/149/Blantons,https://www.thebarreltap.com/products/blantons-straight-from-the-barrel-bourbon-whiskey,https://kegnbottle.com/products/blantons-straight-from-the-barrel-bourbon-700-ml
blantons_gold_edition,Blanton's Gold Edition,103,,,110.00,,"Barrel No. 218, Rack No. 9, dumped on 12-18-25, stored in Warehouse H",active,,,,https://woodencork.com/products/blantons-gold-label-domestic-release-750ml,https://bottlebluebook.com/group/29/Blanton%27s,https://www.thebarreltap.com/products/blantons-gold-edition-bourbon-750ml,https://kegnbottle.com/products/blantons-gold-edition-bourbon-single-barrel
eagle_rare_10_year_single_barrel_select,Eagle Rare 10 Year Single Barrel Select,90,,,,,L23211023 23N Barrel #045,active,,,,,,,
little_book_chapter_5_the_invitation,"Little Book Chapter 5 ""The Invitation""",58.65,,,,,L14388CL 692871437,active,,,,,,,
little_book_chapter_08_path_not_taken,Little Book Chapter 08: Path Not Taken,118.2,,,,014,,active,,,,,,,
thomas_h_handy_sazerac_straight_rye_whiskey,Thomas H. Handy Sazerac Straight Rye Whiskey,64.5,,,,,23 01220 REF B 31 15 CALIF,active,,,,,,,
colonel_eh_taylor_straight_rye_bottled_in_bond,Colonel E.H. Taylor Straight Rye Bottled in Bond,100.0,,,,,L2529301 14:15:D REF IA SC WT 15C CA CRV,active,,,,,,,
colonel_eh_taylor_single_barrel_bottled_in_bond,Colonel E.H. Taylor Single Barrel Bottled in Bond,100.0,,,,,L25305M100-58N,active,,,,,,,
colonel_eh_taylor_barrel_proof,Colonel E.H. Taylor Barrel Proof,127.4,,,,,L25212 01 21:2:D REF IA 5C VT 1C,active,,,,,,,
penelope_bourbon_blend_of_straight_whiskeys,Penelope Bourbon Blend of Straight Whiskeys,,,,,,,active,,,,,,,
colonel_eh_taylor_single_barrel_bottled_in_bond_100_0,Colonel E.H. Taylor Single Barrel Bottled in Bond,100.0,,,,,L25305M100:58N,active,,,,,,,
